,지하철역,구
230,중곡역7호선,광진구
231,군자역7호선,광진구
232,어린이대공원역7호선,광진구
233,건대입구역7호선,광진구
234,자양역7호선,광진구
235,청담역7호선,강남구
236,강남구청역7호선,강남구
237,학동역7호선,강남구
238,논현역7호선,강남구
239,반포역7호선,서초구
240,고속터미널역7호선,서초구
241,내방역7호선,서초구
242,총신대입구역7호선,동작구
243,남성역7호선,동작구
244,숭실대입구역7호선,동작구
245,상도역7호선,동작구
246,장승배기역7호선,동작구
247,신대방삼거리역7호선,동작구
248,보라매역7호선,동작구
249,신풍역7호선,영등포구
250,대림역7호선,영등포구
251,남구로역7호선,구로구
252,가산디지털단지역7호선,금천구
255,천왕역7호선,구로구
256,온수역7호선,구로구
257,암사역8호선,강동구
258,천호역8호선,강동구
259,강동구청역8호선,강동구
260,몽촌토성역8호선,송파구
261,잠실역8호선,송파구
262,석촌역8호선,송파구
263,송파역8호선,송파구
264,가락시장역8호선,송파구
265,문정역8호선,송파구
266,장지역8호선,송파구
267,복정역8호선,송파구
808,개화역9호선,강서구
809,김포공항역9호선,강서구
810,공항시장역9호선,강서구
811,신방화역9호선,강서구
812,마곡나루역9호선,강서구
813,양천향교역9호선,강서구
814,가양역9호선,강서구
815,증미역9호선,강서구
816,등촌역9호선,강서구
817,염창역9호선,강서구
818,신목동역9호선,양천구
819,선유도역9호선,영등포구
820,당산역9호선,영등포구
821,국회의사당역9호선,영등포구
822,여의도역9호선,영등포구
823,샛강역9호선,영등포구
824,노량진역9호선,동작구
825,노들역9호선,동작구
826,흑석역9호선,동작구
827,동작역9호선,동작구
828,구반포역9호선,서초구
829,신반포역9호선,서초구
830,고속터미널역9호선,서초구
831,사평역9호선,서초구
832,신논현역9호선,강남구
