"시군구별(1)",시군구별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023
"시군구별(1)",시군구별(2),합계,합계,합계,심한장애,심한장애,심한장애,심하지않은장애,심하지않은장애,심하지않은장애
"시군구별(1)",시군구별(2),소계,남자,여자,소계,남자,여자,소계,남자,여자
"광주광역시",광산구,17477,10235,7242,7093,4210,2883,10384,6025,4359
"대전광역시",소계,71440,41823,29617,28066,16719,11347,43374,25104,18270
"대전광역시",동구,14225,8384,5841,5673,3399,2274,8552,4985,3567
"대전광역시",중구,13628,7929,5699,5139,3106,2033,8489,4823,3666
"대전광역시",서구,20456,11916,8540,8023,4719,3304,12433,7197,5236
"대전광역시",유성구,12426,7317,5109,4921,2941,1980,7505,4376,3129
"대전광역시",대덕구,10705,6277,4428,4310,2554,1756,6395,3723,2672
"울산광역시",소계,51383,31151,20232,19106,11608,7498,32277,19543,12734
"울산광역시",중구,10678,6452,4226,3670,2229,1441,7008,4223,2785
"울산광역시",남구,12846,7858,4988,4709,2919,1790,8137,4939,3198
"울산광역시",동구,7329,4484,2845,2702,1671,1031,4627,2813,1814
"울산광역시",북구,8766,5412,3354,3405,2072,1333,5361,3340,2021
"울산광역시",울주군,11764,6945,4819,4620,2717,1903,7144,4228,2916
"세종특별자치시",소계,12944,7851,5093,4907,3051,1856,8037,4800,3237
"경기도",소계,586421,349212,237209,215561,129768,85793,370860,219444,151416
"경기도",수원시장안구,11171,6547,4624,4099,2477,1622,7072,4070,3002
"경기도",수원시권선구,15198,9043,6155,5600,3308,2292,9598,5735,3863
"경기도",수원시팔달구,8989,5249,3740,3463,2058,1405,5526,3191,2335
"경기도",수원시영통구,9038,5340,3698,3371,2028,1343,5667,3312,2355
"경기도",성남시수정구,11265,6645,4620,3969,2370,1599,7296,4275,3021
"경기도",성남시중원구,10902,6521,4381,3977,2392,1585,6925,4129,2796
"경기도",성남시분당구,13754,7778,5976,5535,3276,2259,8219,4502,3717
"경기도",의정부시,22450,12975,9475,8326,4926,3400,14124,8049,6075
"경기도",안양시만안구,11107,6645,4462,3748,2291,1457,7359,4354,3005
"경기도",안양시동안구,10304,5912,4392,3728,2209,1519,6576,3703,2873
"경기도",부천시,37505,22678,14827,13857,8431,5426,23648,14247,9401
"경기도",광명시,12381,7325,5056,4654,2766,1888,7727,4559,3168
"경기도",평택시,25991,15554,10437,9205,5469,3736,16786,10085,6701
"경기도",동두천시,6323,3630,2693,2550,1497,1053,3773,2133,1640
"경기도",안산시상록구,17481,10645,6836,6297,3819,2478,11184,6826,4358
"경기도",안산시단원구,15644,9588,6056,5548,3397,2151,10096,6191,3905
"경기도",고양시덕양구,20726,11961,8765,7395,4379,3016,13331,7582,5749
"경기도",고양시일산동구,11062,6356,4706,4423,2654,1769,6639,3702,2937
"경기도",고양시일산서구,10626,6072,4554,4144,2475,1669,6482,3597,2885
"경기도",과천시,2293,1333,960,851,511,340,1442,822,620
"경기도",구리시,8552,5090,3462,3004,1829,1175,5548,3261,2287
"경기도",남양주시,33172,19756,13416,11582,7046,4536,21590,12710,8880
"경기도",오산시,9019,5540,3479,3524,2143,1381,5495,3397,2098
"경기도",시흥시,22529,14103,8426,8005,4943,3062,14524,9160,5364
"경기도",군포시,11734,6910,4824,4191,2536,1655,7543,4374,3169
"경기도",의왕시,6552,3812,2740,2274,1334,940,4278,2478,1800
"경기도",하남시,12026,7156,4870,4317,2616,1701,7709,4540,3169
"경기도",용인시처인구,13380,7755,5625,5163,2848,2315,8217,4907,3310
"경기도",용인시기흥구,14905,8672,6233,5485,3264,2221,9420,5408,4012
"경기도",용인시수지구,9167,5314,3853,3214,1919,1295,5953,3395,2558
"경기도",파주시,22616,13355,9261,8484,5120,3364,14132,8235,5897
"경기도",이천시,10893,6599,4294,4377,2675,1702,6516,3924,2592
"경기도",안성시,11213,6727,4486,4295,2596,1699,6918,4131,2787
"경기도",김포시,18954,11516,7438,6896,4216,2680,12058,7300,4758
"경기도",화성시,31921,19845,12076,11396,7022,4374,20525,12823,7702
"경기도",광주시,17471,10711,6760,6209,3810,2399,11262,6901,4361
"경기도",양주시,13647,8124,5523,5172,3049,2123,8475,5075,3400
"경기도",포천시,10214,6194,4020,3721,2293,1428,6493,3901,2592
"경기도",여주시,7547,4475,3072,3065,1872,1193,4482,2603,1879
"경기도",연천군,3417,1955,1462,1199,733,466,2218,1222,996
"경기도",가평군,5070,2990,2080,2135,1274,861,2935,1716,1219
"경기도",양평군,8212,4816,3396,3113,1897,1216,5099,2919,2180
"강원특별자치도",소계,100520,58172,42348,37436,22584,14852,63084,35588,27496
"강원특별자치도",춘천시,15530,9143,6387,6031,3661,2370,9499,5482,4017
"강원특별자치도",원주시,19559,11350,8209,7667,4574,3093,11892,6776,5116
"강원특별자치도",강릉시,13387,7636,5751,5145,3080,2065,8242,4556,3686
"강원특별자치도",동해시,6657,3852,2805,2419,1490,929,4238,2362,1876
"강원특별자치도",태백시,4020,2311,1709,1456,937,519,2564,1374,1190
"강원특별자치도",속초시,4880,2837,2043,1740,1041,699,3140,1796,1344
"강원특별자치도",삼척시,5338,3006,2332,1924,1168,756,3414,1838,1576
"강원특별자치도",홍천군,5077,3014,2063,1862,1111,751,3215,1903,1312
"강원특별자치도",횡성군,3740,2200,1540,1273,743,530,2467,1457,1010
"강원특별자치도",영월군,3403,1930,1473,1187,713,474,2216,1217,999
"강원특별자치도",평창군,3108,1776,1332,1067,627,440,2041,1149,892
"강원특별자치도",정선군,3228,1864,1364,1136,706,430,2092,1158,934
"강원특별자치도",철원군,2983,1711,1272,1097,654,443,1886,1057,829
"강원특별자치도",화천군,1697,983,714,585,373,212,1112,610,502
"강원특별자치도",양구군,1438,820,618,490,290,200,948,530,418
"강원특별자치도",인제군,1959,1140,819,743,436,307,1216,704,512
"강원특별자치도",고성군,2231,1258,973,762,454,308,1469,804,665
"강원특별자치도",양양군,2285,1341,944,852,526,326,1433,815,618
"충청북도",소계,97117,55896,41221,37424,22223,15201,59693,33673,26020
"충청북도",청주시상당구,10693,6093,4600,4367,2529,1838,6326,3564,2762
"충청북도",청주시서원구,9975,5762,4213,4031,2388,1643,5944,3374,2570
