구,저상버스비율2,콜택시대기초,지하철 이동 지수,편의시설 점수,대중교통 이동성 점수,최종 점수
강남구,0.701418984373979,0.7201476478109863,-0.24148928376615186,0.38503768756328505,0.6211768574626662,0.6510307597712406
강동구,0.20446405272087648,-0.6402794490362727,0.972183535435291,1.038210726863345,0.5931102514141677,0.8595948945232103
강북구,-1.3783833703649258,1.2945131836148611,-0.7346390637762824,-1.879390689521733,-1.3007597981573749,-1.744112961356869
강서구,0.12262452549461432,0.5673781262827559,0.3181529971971623,-0.0938715155300925,0.4207434347977295,0.3150950527211392
관악구,0.645024905947778,0.7856452846263529,0.0651494763805382,-0.6286364294451283,0.7672892892647871,0.4122792674985513
광진구,0.19807059712612887,-2.340148974710801,0.1613693606947841,1.876864749794535,-0.2777144471251624,0.4361134681840525
구로구,-0.5461862186316618,0.28637979458892576,-0.25165458982864014,-1.2710936849788907,-0.5447077553021116,-0.9021619246808005
금천구,-0.4685618673050698,0.09850505770584503,-2.1321762605597483,-1.3000418113833314,-1.6192785270559096,-1.802266004082349
노원구,-1.2645043625258738,-1.209877417197006,-0.946650272777771,-0.08060079246529031,-1.905743679499004,-1.6067128864401656
도봉구,-1.094189975392426,-0.6624184099302804,3.2160388792190617,-1.4646159024804413,0.7939261335431158,0.13765473385712818
동대문구,2.2142169610873887,-0.6643363124243036,0.7737746437205486,1.2217209029773526,2.1790801420663124,2.2380311416103007
동작구,-1.374943326100106,1.1346645418213388,1.152744282445145,0.021952437985028488,-0.233578670727635,-0.18563110859143014
마포구,-0.3147416562321894,-1.6059835723022233,-0.2656491125721604,-0.5856845450501654,-0.7930313966898209,-0.8645479337739838
서대문구,0.22591673335700987,-0.08444725526823267,0.16348739944635965,1.2392729709811154,0.26780784751099246,0.6615737309313665
서초구,-1.3012990159681297,1.3534413578327824,0.30789377267841,-0.2333679482601841,-0.6134325928063045,-0.5907915937705847
성동구,-0.7085307017586372,0.24694615639974607,0.04360363219214311,0.041437866070738634,-0.519458493843106,-0.41544727969299794
성북구,-1.6459748972064712,0.32338024413267363,-0.688938307074394,-0.5565595840931885,-1.7255590817128137,-1.6264193218010388
송파구,1.81183711146687,0.46375563064902475,0.02495075378367133,0.5914879018051431,1.660745752568178,1.5851444574353462
양천구,1.1518716751177884,1.5328709266233551,-0.9350809308381044,-0.7245761337590434,0.786756261171105,0.39435129742417224
영등포구,-0.20212107210926708,-0.15727952364885014,0.5354516356960122,1.9177281179388954,0.10439517037675214,0.7670328861042588
용산구,0.8221725849664938,0.11097121179606743,0.7188711029553716,-1.1925114069743288,1.1434561296727495,0.5236611174002677
은평구,0.29919046984226555,0.1587420106283032,-1.6110993192239562,0.3512833205460055,-0.649160790438984,-0.412889661276181
종로구,0.19530276925509854,-0.7618294660200502,0.31884105513358396,0.8366383618933777,0.17609465805178554,0.4427362836946434
중구,0.7478998402973478,0.9413265622565703,-0.6223468772963726,0.562618757592832,0.48950870161370214,0.6050209891849415
중랑구,0.9594252525411185,-1.8920673562315684,-0.3427885092645017,-0.07330335806983546,0.17833460384418365,0.12166059512578199
