구,최종 점수
동대문구,2.2380311416103007
송파구,1.5851444574353462
강동구,0.8595948945232103
영등포구,0.7670328861042588
서대문구,0.6615737309313665
강남구,0.6510307597712406
중구,0.6050209891849415
용산구,0.5236611174002677
종로구,0.4427362836946434
광진구,0.4361134681840525
관악구,0.4122792674985513
양천구,0.39435129742417224
강서구,0.3150950527211392
도봉구,0.13765473385712818
중랑구,0.12166059512578199
동작구,-0.18563110859143014
은평구,-0.412889661276181
성동구,-0.41544727969299794
서초구,-0.5907915937705847
마포구,-0.8645479337739838
구로구,-0.9021619246808005
노원구,-1.6067128864401656
성북구,-1.6264193218010388
강북구,-1.744112961356869
금천구,-1.802266004082349
